ticker,date,open,high,low,close
BABA,2014-09-19,92.7,99.7,89.95,93.89
BABA,2014-09-22,92.7,92.95,89.5,89.89
BABA,2014-09-23,88.94,90.48,86.62,87.17
BABA,2014-09-24,88.47,90.57,87.22,90.57
BABA,2014-09-25,91.09,91.5,88.5,88.92
BABA,2014-09-26,89.73,90.46,88.66,90.46
BABA,2014-09-29,89.62,89.7,88.02,88.75
BABA,2014-09-30,89.0,90.88,88.46,88.85
BABA,2014-10-01,88.7,88.94,86.04,86.1
BABA,2014-10-02,86.27,88.2,85.61,87.06
BABA,2014-10-03,88.1,89.94,87.65,88.1
BABA,2014-10-06,89.15,89.65,88.06,88.31
BABA,2014-10-07,87.95,89.7,87.06,87.67
BABA,2014-10-08,88.0,88.5,87.06,88.3
BABA,2014-10-09,88.51,90.35,88.0,88.79
BABA,2014-10-10,88.25,88.74,85.24,85.88
BABA,2014-10-13,86.85,86.89,84.92,85.12
BABA,2014-10-14,85.81,85.88,83.22,84.95
BABA,2014-10-15,84.04,86.49,82.81,85.6
BABA,2014-10-16,84.98,89.18,84.01,88.85
BABA,2014-10-17,90.4,90.9,87.67,87.91
BABA,2014-10-20,88.0,89.5,87.86,88.26
BABA,2014-10-21,89.1,92.5,88.5,90.9
BABA,2014-10-22,92.25,93.5,91.01,91.63
BABA,2014-10-23,92.92,94.7,92.82,94.45
BABA,2014-10-24,95.07,98.0,94.78,95.76
BABA,2014-10-27,97.0,98.85,96.3,97.79
BABA,2014-10-28,99.84,100.67,98.61,99.68
BABA,2014-10-29,99.88,100.0,96.82,98.31
BABA,2014-10-30,98.48,99.44,97.3,98.73
BABA,2014-10-31,100.1,100.22,98.14,98.6
BABA,2014-11-03,99.67,102.8,99.05,101.8
BABA,2014-11-04,100.43,106.36,99.51,106.07
BABA,2014-11-05,108.48,110.14,106.48,108.67
BABA,2014-11-06,109.3,111.7,107.21,111.57
BABA,2014-11-07,112.93,114.77,111.75,114.56
BABA,2014-11-10,117.27,119.45,115.2,119.15
BABA,2014-11-11,117.25,117.55,113.69,114.54
BABA,2014-11-12,115.05,119.07,114.02,118.2
BABA,2014-11-13,119.3,120.0,114.55,114.84
BABA,2014-11-14,115.06,115.39,113.35,115.1
BABA,2014-11-17,115.44,115.63,113.13,114.25
BABA,2014-11-18,114.33,114.38,110.41,110.81
BABA,2014-11-19,109.83,110.68,107.22,108.82
BABA,2014-11-20,107.81,112.44,107.26,109.82
BABA,2014-11-21,113.21,113.5,110.43,110.73
BABA,2014-11-24,112.0,113.93,111.55,113.92
BABA,2014-11-25,114.94,115.17,112.33,113.47
BABA,2014-11-26,113.33,113.74,112.33,112.67
BABA,2014-11-28,113.14,113.23,111.11,111.64
BABA,2014-12-01,110.02,110.05,103.9,105.99
BABA,2014-12-02,107.35,110.0,106.61,109.89
BABA,2014-12-03,110.4,111.68,108.8,110.64
BABA,2014-12-04,110.1,110.5,108.91,109.17
BABA,2014-12-05,109.6,110.35,107.76,107.9
BABA,2014-12-08,105.97,107.4,104.21,105.07
BABA,2014-12-09,102.27,107.95,101.2,107.48
BABA,2014-12-10,107.09,107.38,103.51,103.88
BABA,2014-12-11,104.44,106.84,104.29,104.97
BABA,2014-12-12,104.7,107.45,104.18,105.11
BABA,2014-12-15,106.39,107.77,103.7,104.7
BABA,2014-12-16,103.75,107.68,103.7,105.77
BABA,2014-12-17,107.11,109.19,106.28,109.02
BABA,2014-12-18,110.58,111.2,108.26,109.25
BABA,2014-12-19,109.93,110.65,108.04,110.65
BABA,2014-12-22,110.63,110.98,108.53,108.77
BABA,2014-12-23,108.3,108.47,103.88,105.52
BABA,2014-12-24,105.68,107.21,105.6,105.95
BABA,2014-12-26,105.99,106.94,105.5,105.95
BABA,2014-12-29,105.95,107.66,105.64,105.98
BABA,2014-12-30,105.64,106.71,105.13,105.75
BABA,2014-12-31,106.46,106.47,103.69,103.94
BABA,2015-01-02,104.24,104.72,102.52,103.6
BABA,2015-01-05,102.76,103.02,99.9,101.0
BABA,2015-01-06,101.25,103.85,100.11,103.32
BABA,2015-01-07,104.59,104.74,102.03,102.13
BABA,2015-01-08,102.95,105.34,102.68,105.03
BABA,2015-01-09,105.24,105.3,102.89,103.02
BABA,2015-01-12,103.2,103.36,101.21,101.62
BABA,2015-01-13,102.59,102.85,100.01,100.77
BABA,2015-01-14,99.28,100.18,98.06,99.58
BABA,2015-01-15,99.67,100.14,96.02,96.31
BABA,2015-01-16,96.09,97.8,95.52,96.89
BABA,2015-01-20,98.3,100.21,97.59,100.04
BABA,2015-01-21,100.75,103.86,100.32,103.29
BABA,2015-01-22,104.6,104.92,103.1,104.0
BABA,2015-01-23,104.02,105.2,103.02,103.11
BABA,2015-01-26,104.4,105.13,103.33,103.99
BABA,2015-01-27,102.89,103.57,100.58,102.94
BABA,2015-01-28,100.3,101.49,97.79,98.45
BABA,2015-01-29,90.53,90.74,87.36,89.81
BABA,2015-01-30,89.6,92.0,88.11,89.08
BABA,2015-02-02,91.13,91.66,88.61,90.13
BABA,2015-02-03,91.65,91.65,89.9,90.61
BABA,2015-02-04,90.99,91.88,89.48,90.0
BABA,2015-02-05,89.58,89.84,86.1,87.0
BABA,2015-02-06,87.11,87.4,85.42,85.68
BABA,2015-02-09,85.83,86.75,85.47,86.0
BABA,2015-02-10,87.01,87.47,86.52,87.26
BABA,2015-02-11,87.58,87.7,85.82,86.0
BABA,2015-02-12,85.6,88.3,85.55,87.1
BABA,2015-02-13,88.2,89.3,87.65,89.05
BABA,2015-02-17,88.78,88.99,86.7,86.85
BABA,2015-02-18,87.1,87.43,86.5,86.74
